question,query_type,baseline_similarity,improved_similarity,similarity_change,baseline_exact_match,improved_exact_match,ground_truth_sql,improved_generated_sql,baseline_generated_sql
Which team has the most games with 15+ three-pointers made?,ranking,0.025763888888888888,0.4236805555555555,0.39791666666666664,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN (g.team_id_home = t.id AND g.fg3m_home >= 15) OR (g.team_id_away = t.id AND g.fg3m_away >= 15) THEN 1 ELSE 0 END) DESC LIMIT 1","SELECT t.full_name, COUNT(*) as games_with_15plus_3pm 
FROM (
    SELECT team_id_home as team_id FROM game WHERE fg3m_home >= 15
    UNION ALL
    SELECT team_id_away as team_id FROM game WHERE fg3m_away >= 15
) g
JOIN team t ON g.team_id = t.id
GROUP BY t.id, t.full_name
ORDER BY games_with_15plus_3pm DESC
LIMIT 1","SELECT 
    team_name,
    COUNT(*) AS games_with_15plus_threes
FROM 
    games
WHERE 
    three_pointers_made >= 15
GROUP BY 
    team_name
ORDER BY 
    games_with_15plus_threes DESC
LIMIT 1;"
What's the most common margin of victory?,detail,0.12999999999999998,0.8216666666666667,0.6916666666666667,False,False,SELECT ABS(pts_home - pts_away) as margin FROM game GROUP BY margin ORDER BY COUNT(*) DESC LIMIT 1,"SELECT ABS(pts_home - pts_away) as margin_of_victory, COUNT(*) as frequency FROM game GROUP BY margin_of_victory ORDER BY frequency DESC LIMIT 1","SELECT 
    margin_of_victory, 
    COUNT(*) as frequency
FROM (
    SELECT 
        ABS(home_score - away_score) as margin_of_victory
    FROM games
    WHERE home_score != away_score  -- Excluding ties
) as victory_margins
GROUP BY margin_of_victory
ORDER BY frequency DESC
LIMIT 1;"
How many players have jersey numbers greater than 50?,counting,0.521875,0.646875,0.125,False,False,SELECT COUNT(*) FROM common_player_info WHERE CAST(jersey AS INTEGER) > 50 AND jersey != '',SELECT COUNT(DISTINCT person_id) as high_jersey_count FROM common_player_info WHERE CAST(jersey AS INTEGER) > 50,"SELECT COUNT(*) 
FROM players 
WHERE jersey_number > 50;"
Which team has the highest offensive rebound percentage?,ranking,0.2740489130434782,0.5871281254976908,0.31307921245421255,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING COUNT(*) >= 50 ORDER BY CAST(SUM(CASE WHEN g.team_id_home = t.id THEN g.oreb_home ELSE g.oreb_away END) AS FLOAT) / SUM(CASE WHEN g.team_id_home = t.id THEN (g.oreb_home + g.dreb_away) ELSE (g.oreb_away + g.dreb_home) END) * 100 DESC LIMIT 1","WITH team_stats AS (
    SELECT 
        t.id, 
        t.full_name,
        SUM(g.oreb_home) AS total_oreb,
        SUM(g.dreb_away) AS opp_dreb_home,
        SUM(g.oreb_away) AS total_oreb_away,
        SUM(g.dreb_home) AS opp_dreb_away
    FROM game g
    JOIN team t ON g.team_id_home = t.id OR g.team_id_away = t.id
    GROUP BY t.id, t.full_name
)
SELECT 
    full_name,
    ROUND(((total_oreb + total_oreb_away) * 100.0) / ((total_oreb + total_oreb_away) + (opp_dreb_home + opp_dreb_away)), 2) AS oreb_percentage
FROM team_stats
ORDER BY oreb_percentage DESC
LIMIT 1","SELECT 
    team_name,
    offensive_rebound_percentage
FROM 
    team_stats
ORDER BY 
    offensive_rebound_percentage DESC
LIMIT 1;"
What's the average number of three-point attempts per game?,aggregation,0.675,0.875,0.19999999999999996,False,False,"SELECT ROUND(AVG(fg3a_home + fg3a_away), 2) as avg_3pa FROM game","SELECT ROUND(AVG(fg3a_home + fg3a_away), 2) as avg_3pt_attempts_per_game FROM game","SELECT AVG(three_point_attempts) AS average_three_point_attempts_per_game
FROM games;"
Which team has the most games with 50+ rebounds?,ranking,0.025763888888888888,0.4773429951690821,0.4515791062801932,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN (g.team_id_home = t.id AND g.reb_home >= 50) OR (g.team_id_away = t.id AND g.reb_away >= 50) THEN 1 ELSE 0 END) DESC LIMIT 1","SELECT t.full_name, COUNT(*) as high_rebound_games FROM game g JOIN team t ON g.team_id_home = t.id WHERE g.reb_home >= 50 GROUP BY t.id, t.full_name UNION ALL SELECT t.full_name, COUNT(*) as high_rebound_games FROM game g JOIN team t ON g.team_id_away = t.id WHERE g.reb_away >= 50 GROUP BY t.id, t.full_name ORDER BY high_rebound_games DESC LIMIT 1","SELECT 
    team_name,
    COUNT(*) AS games_with_50plus_rebounds
FROM 
    game_stats
WHERE 
    rebounds >= 50
GROUP BY 
    team_name
ORDER BY 
    games_with_50plus_rebounds DESC
LIMIT 1;"
How many players were drafted in the second round in 2017?,counting,0.42142857142857143,0.7428571428571428,0.32142857142857134,False,False,SELECT COUNT(*) FROM draft_history WHERE season = '2017' AND round_number = 2,SELECT COUNT(*) as second_round_picks FROM draft_history WHERE season = '2017' AND round_number = 2 LIMIT 1,"SELECT COUNT(*) AS second_round_picks_2017
FROM players
WHERE draft_round = 2 
AND draft_year = 2017;"
Which team has the highest field goal percentage in home games?,ranking,0.03344444444444444,0.827888888888889,0.7944444444444445,False,False,"SELECT t.full_name FROM game g JOIN team t ON g.team_id_home = t.id GROUP BY t.id, t.full_name HAVING COUNT(*) >= 20 ORDER BY CAST(SUM(g.fgm_home) AS FLOAT) / SUM(g.fga_home) * 100 DESC LIMIT 1","SELECT t.full_name, ROUND(AVG(g.fg_pct_home) * 100, 2) AS avg_fg_pct_home FROM game g JOIN team t ON g.team_id_home = t.id GROUP BY t.id, t.full_name ORDER BY avg_fg_pct_home DESC LIMIT 1","SELECT 
    team_name,
    SUM(field_goals_made) * 100.0 / NULLIF(SUM(field_goals_attempted), 0) AS field_goal_percentage
FROM 
    games
WHERE 
    is_home_game = TRUE
GROUP BY 
    team_name
ORDER BY 
    field_goal_percentage DESC
LIMIT 1;"
What's the average number of personal fouls in playoff games?,aggregation,0.5083333333333333,0.875,0.3666666666666667,False,False,"SELECT ROUND(AVG(pf_home + pf_away), 2) as avg_fouls FROM game WHERE season_type = 'Playoffs'","SELECT ROUND(AVG(pf_home + pf_away), 2) AS avg_personal_fouls FROM game WHERE season_type = 'Playoffs'","SELECT AVG(personal_fouls) AS average_personal_fouls
FROM games
WHERE is_playoff = TRUE;"
Which team has the most games with 30+ assists?,ranking,0.04763888888888888,0.4773429951690821,0.4297041062801932,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN (g.team_id_home = t.id AND g.ast_home >= 30) OR (g.team_id_away = t.id AND g.ast_away >= 30) THEN 1 ELSE 0 END) DESC LIMIT 1","SELECT t.full_name, COUNT(*) as high_assist_games FROM game g JOIN team t ON g.team_id_home = t.id WHERE g.ast_home >= 30 GROUP BY t.id, t.full_name UNION ALL SELECT t.full_name, COUNT(*) as high_assist_games FROM game g JOIN team t ON g.team_id_away = t.id WHERE g.ast_away >= 30 GROUP BY t.id, t.full_name ORDER BY high_assist_games DESC LIMIT 1","SELECT team_name, COUNT(*) AS games_with_30plus_assists
FROM team_games
WHERE assists >= 30
GROUP BY team_name
ORDER BY games_with_30plus_assists DESC
LIMIT 1;"
What's the most common player weight?,detail,0.30166666666666664,0.6991666666666666,0.39749999999999996,False,False,SELECT weight FROM common_player_info WHERE weight != '' GROUP BY weight ORDER BY COUNT(*) DESC LIMIT 1,"SELECT weight, COUNT(*) as count FROM common_player_info WHERE weight IS NOT NULL GROUP BY weight ORDER BY count DESC LIMIT 1","SELECT weight, COUNT(*) AS frequency
FROM players
GROUP BY weight
ORDER BY frequency DESC
LIMIT 1;"
How many games started before 7 PM local time?,counting,0.49999999999999994,0.525,0.025000000000000078,False,False,"SELECT COUNT(*) FROM game_info WHERE CAST(SUBSTR(game_time, 1, 2) AS INTEGER) < 19","SELECT COUNT(*) as early_games FROM game_info WHERE SUBSTR(game_time, 1, 5) < '19:00' AND game_time NOT LIKE '%.%'","SELECT COUNT(*) 
FROM games
WHERE TIME(start_time) < '19:00:00'"
Which team has the highest percentage of games with 10+ blocks?,ranking,0.29602272727272727,0.3270941558441558,0.031071428571428528,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING COUNT(*) >= 50 ORDER BY CAST(SUM(CASE WHEN (g.team_id_home = t.id AND g.blk_home >= 10) OR (g.team_id_away = t.id AND g.blk_away >= 10) THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100 DESC LIMIT 1","WITH team_block_stats AS (
  SELECT 
    t.id, 
    t.full_name,
    COUNT(*) AS total_games,
    SUM(CASE WHEN g.blk_home >= 10 AND g.team_id_home = t.id THEN 1 
             WHEN g.blk_away >= 10 AND g.team_id_away = t.id THEN 1
             ELSE 0 END) AS games_with_10plus_blocks
  FROM team t
  LEFT JOIN game g ON t.id = g.team_id_home OR t.id = g.team_id_away
  GROUP BY t.id, t.full_name
)
SELECT 
  full_name AS team_name,
  ROUND(CAST(games_with_10plus_blocks AS FLOAT) / total_games * 100, 2) AS block_percentage,
  games_with_10plus_blocks,
  total_games
FROM team_block_stats
WHERE total_games > 0
ORDER BY block_percentage DESC
LIMIT 1","SELECT 
    team_name,
    (COUNT(CASE WHEN blocks >= 10 THEN 1 END) * 100.0 / COUNT(*)) AS percentage_games_with_10plus_blocks
FROM 
    team_games
GROUP BY 
    team_name
ORDER BY 
    percentage_games_with_10plus_blocks DESC
LIMIT 1;"
What's the average number of steals per game?,aggregation,0.675,0.875,0.19999999999999996,False,False,"SELECT ROUND(AVG(stl_home + stl_away), 2) as avg_steals FROM game","SELECT ROUND(AVG(stl_home + stl_away), 2) as avg_steals_per_game FROM game","SELECT AVG(steals_per_game) 
FROM games;"
Which team has the most games with 120+ points scored?,ranking,0.025763888888888888,0.6991269841269842,0.6733630952380952,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN (g.team_id_home = t.id AND g.pts_home >= 120) OR (g.team_id_away = t.id AND g.pts_away >= 120) THEN 1 ELSE 0 END) DESC LIMIT 1","SELECT t.full_name, COUNT(*) as high_scoring_games 
FROM game g 
JOIN team t ON g.team_id_home = t.id AND g.pts_home >= 120 OR g.team_id_away = t.id AND g.pts_away >= 120 
GROUP BY t.id, t.full_name 
ORDER BY high_scoring_games DESC 
LIMIT 1","SELECT 
    team_name,
    COUNT(*) AS games_with_120_plus
FROM 
    games
WHERE 
    points_scored >= 120
GROUP BY 
    team_name
ORDER BY 
    games_with_120_plus DESC
LIMIT 1;"
What percentage of games are decided by 5 points or less?,aggregation,0.675,1.0,0.32499999999999996,False,True,"SELECT ROUND(CAST(SUM(CASE WHEN ABS(pts_home - pts_away) <= 5 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100, 2) as close_game_pct FROM game","SELECT ROUND(CAST(SUM(CASE WHEN ABS(pts_home - pts_away) <= 5 THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100, 2) as close_game_pct FROM game","SELECT 
    (COUNT(CASE WHEN ABS(home_score - away_score) <= 5 THEN 1 END) * 100.0 / COUNT(*)) AS percentage_of_close_games
FROM games;"
